,MARITAL_STATUS,EDUCATION_LEVEL,RESIDENTAL_STATUS,LOAN_AMOUNT,INCOME,GENDER,NUMBER_OF_PRIOR_LOANS,AGE,TENURE,PRESENT_EMPLOYMENT_SINCE,FAMILY_SIZE,OCCUPATION
1589,Married,Bachelor's Degree,Owner,10000.0,6250.0,Female,1.0,52.0,7.0,Unemployed,2.0,Professional
89571,Single,Bachelor's Degree,Tenant,20000.0,2750.0,Female,3.0,27.0,1.0,Less Than Seven Years,6.0,Farmer
80905,Single,Primary School Grad,Tenant,40000.0,500.0,Male,0.0,66.0,2.0,More Than Seven Years,3.0,Farmer
38333,Married,Master's Degree,Tenant,35000.0,2750.0,Male,0.0,64.0,39.0,Less Than Seven Years,3.0,Army
88607,Married,Bachelor's Degree,Owner,30000.0,4250.0,Male,2.0,68.0,8.0,Less Than One Year,4.0,Professional
7190,Married,Bachelor's Degree,Tenant,30000.0,2150.0,Male,1.0,19.0,20.0,Unemployed,7.0,Professional
16566,Married,Master's Degree,Tenant,65000.0,2750.0,Male,3.0,62.0,9.0,More Than Seven Years,3.0,Clerical
76112,Married,Bachelor's Degree,Owner,10000.0,6250.0,Female,0.0,55.0,15.0,Less Than Four Years,7.0,Manager
30750,Married,Doctorate Degree,Tenant,15000.0,3750.0,Female,3.0,26.0,3.0,Less Than Seven Years,3.0,Professional
89400,Married,Bachelor's Degree,Owner,30000.0,6250.0,Male,3.0,20.0,25.0,Less Than Seven Years,2.0,Professional
61202,Married,Bachelor's Degree,Owner,100000.0,5250.0,Male,2.0,51.0,5.0,Unemployed,4.0,Professional
34324,Married,Bachelor's Degree,Tenant,15000.0,2150.0,Male,3.0,62.0,2.0,Less Than Seven Years,5.0,Farmer
35596,Divorced,Master's Degree,Tenant,25000.0,2750.0,Male,0.0,66.0,20.0,Less Than Seven Years,3.0,Army
33204,Married,Bachelor's Degree,Tenant,15000.0,4250.0,Female,1.0,44.0,15.0,More Than Seven Years,4.0,Professional
22173,Married,Bachelor's Degree,Tenant,35000.0,2750.0,Male,1.0,43.0,5.0,More Than Seven Years,5.0,Farmer
15592,Married,Bachelor's Degree,Tenant,30000.0,2750.0,Male,0.0,67.0,33.0,Less Than Four Years,4.0,Army
67904,Married,Bachelor's Degree,Tenant,95000.0,2150.0,Female,1.0,42.0,4.0,More Than Seven Years,6.0,Worker
28454,Married,Primary School Grad,Tenant,35000.0,500.0,Male,2.0,70.0,32.0,More Than Seven Years,4.0,Clerical
23782,Single,Master's Degree,Tenant,15000.0,2750.0,Male,1.0,30.0,13.0,Less Than One Year,3.0,Worker
58394,Married,Master's Degree,Tenant,55000.0,2750.0,Female,1.0,63.0,36.0,Less Than Seven Years,3.0,Technician
53117,Married,Bachelor's Degree,Tenant,45000.0,2150.0,Male,3.0,32.0,28.0,Unemployed,4.0,Manager
70263,Married,Bachelor's Degree,Tenant,40000.0,4250.0,Female,3.0,39.0,8.0,Less Than Seven Years,4.0,Professional
17622,Single,Bachelor's Degree,Owner,15000.0,4250.0,Female,0.0,51.0,37.0,Less Than Four Years,2.0,Professional
68487,Single,Master's Degree,Tenant,55000.0,2750.0,Male,3.0,52.0,6.0,Less Than Seven Years,3.0,Manager
10350,Single,Bachelor's Degree,Tenant,20000.0,2150.0,Male,1.0,33.0,59.0,Less Than Four Years,4.0,Technician
63671,Single,Bachelor's Degree,Tenant,60000.0,5250.0,Male,3.0,18.0,8.0,Less Than Four Years,7.0,Manager
46092,Married,Bachelor's Degree,Tenant,30000.0,2150.0,Female,3.0,35.0,11.0,More Than Seven Years,4.0,Worker
81253,Single,Bachelor's Degree,Tenant,45000.0,2750.0,Female,1.0,67.0,3.0,More Than Seven Years,4.0,Farmer
56699,Married,Master's Degree,Tenant,65000.0,2750.0,Male,0.0,18.0,2.0,Less Than One Year,3.0,Farmer
89833,Married,Master's Degree,Tenant,40000.0,2750.0,Female,1.0,47.0,22.0,Less Than Seven Years,3.0,Technician
12449,Single,Master's Degree,Tenant,45000.0,3750.0,Male,2.0,30.0,24.0,More Than Seven Years,4.0,Worker
59766,Married,Master's Degree,Tenant,40000.0,2750.0,Female,2.0,62.0,5.0,More Than Seven Years,3.0,Clerical
71312,Married,Master's Degree,Tenant,95000.0,2150.0,Female,3.0,37.0,1.0,Less Than One Year,2.0,Army
80807,Married,Master's Degree,Tenant,55000.0,2750.0,Male,0.0,48.0,8.0,Unemployed,2.0,Professional
70721,Married,Master's Degree,Tenant,70000.0,2150.0,Female,3.0,67.0,4.0,Less Than Seven Years,2.0,Farmer
22031,Married,Bachelor's Degree,Owner,20000.0,6250.0,Male,0.0,38.0,3.0,More Than Seven Years,3.0,Professional
74085,Married,Bachelor's Degree,Tenant,10000.0,2150.0,Female,3.0,40.0,4.0,More Than Seven Years,4.0,Farmer
84050,Divorced,Bachelor's Degree,Tenant,20000.0,4250.0,Male,3.0,30.0,1.0,More Than Seven Years,4.0,Manager
28220,Single,Bachelor's Degree,Tenant,85000.0,2150.0,Male,2.0,39.0,1.0,Less Than Four Years,4.0,Manager
67628,Married,Bachelor's Degree,Tenant,10000.0,2750.0,Female,0.0,23.0,36.0,Less Than One Year,4.0,Farmer
87329,Married,Doctorate Degree,Tenant,40000.0,3750.0,Female,3.0,38.0,14.0,More Than Seven Years,3.0,Professional
10207,Single,Bachelor's Degree,Owner,15000.0,4250.0,Male,0.0,63.0,32.0,More Than Seven Years,2.0,Professional
61388,Married,Bachelor's Degree,Tenant,15000.0,2150.0,Female,1.0,62.0,69.0,Less Than Seven Years,6.0,Technician
32955,Single,Primary School Grad,Family Home,30000.0,500.0,Male,0.0,36.0,28.0,Less Than One Year,5.0,Technician
41869,Married,Bachelor's Degree,Owner,30000.0,6250.0,Male,0.0,45.0,13.0,Less Than Four Years,3.0,Manager
24322,Married,Master's Degree,Tenant,10000.0,2150.0,Male,3.0,18.0,14.0,More Than Seven Years,3.0,Farmer
19810,Single,Bachelor's Degree,Tenant,35000.0,2150.0,Female,3.0,70.0,1.0,More Than Seven Years,6.0,Worker
66634,Married,Master's Degree,Tenant,25000.0,2150.0,Female,0.0,58.0,19.0,More Than Seven Years,2.0,Professional
1381,Married,Master's Degree,Tenant,20000.0,2750.0,Male,1.0,62.0,1.0,Less Than Seven Years,3.0,Worker
8605,Married,Master's Degree,Tenant,40000.0,2150.0,Male,3.0,69.0,7.0,Unemployed,2.0,Technician
48511,Married,Bachelor's Degree,Tenant,10000.0,2750.0,Female,1.0,22.0,10.0,Less Than Seven Years,4.0,Clerical
54189,Married,Bachelor's Degree,Tenant,85000.0,2750.0,Female,3.0,58.0,8.0,Less Than Four Years,6.0,Technician
21281,Single,Primary School Grad,Tenant,25000.0,500.0,Female,0.0,66.0,69.0,More Than Seven Years,3.0,Manager
77064,Single,Bachelor's Degree,Owner,25000.0,5250.0,Female,3.0,23.0,32.0,Unemployed,3.0,Professional
93718,Single,Master's Degree,Tenant,20000.0,3750.0,Female,2.0,49.0,89.0,Less Than Seven Years,4.0,Worker
52327,Single,Bachelor's Degree,Tenant,20000.0,2750.0,Female,2.0,35.0,4.0,Less Than Seven Years,4.0,Army
15038,Married,Primary School Grad,Family Home,70000.0,500.0,Male,0.0,20.0,6.0,More Than Seven Years,5.0,Technician
75969,Married,Bachelor's Degree,Tenant,65000.0,2750.0,Male,1.0,66.0,87.0,Less Than Seven Years,5.0,Worker
94754,Married,Primary School Grad,Tenant,35000.0,500.0,Female,0.0,54.0,10.0,Less Than Seven Years,6.0,Manager
20131,Married,Bachelor's Degree,Owner,60000.0,6250.0,Female,2.0,63.0,9.0,Less Than Four Years,2.0,Manager
11390,Married,Master's Degree,Tenant,15000.0,3750.0,Female,2.0,53.0,51.0,Less Than One Year,4.0,Clerical
41160,Married,Master's Degree,Tenant,20000.0,3750.0,Male,2.0,54.0,15.0,Less Than Seven Years,5.0,Technician
7295,Married,Bachelor's Degree,Tenant,15000.0,2150.0,Male,2.0,44.0,30.0,Less Than One Year,4.0,Farmer
8068,Married,Bachelor's Degree,Tenant,30000.0,2150.0,Female,1.0,59.0,91.0,More Than Seven Years,4.0,Manager
78471,Married,Bachelor's Degree,Owner,25000.0,6250.0,Female,0.0,66.0,10.0,Less Than Four Years,3.0,Manager
42727,Married,Bachelor's Degree,Owner,50000.0,6250.0,Female,3.0,19.0,2.0,Less Than Seven Years,2.0,Manager
86156,Single,Bachelor's Degree,Owner,60000.0,6250.0,Male,3.0,63.0,90.0,Less Than One Year,6.0,Professional
9764,Married,Primary School Grad,Family Home,50000.0,500.0,Female,2.0,21.0,22.0,More Than Seven Years,4.0,Professional
32792,Married,Bachelor's Degree,Tenant,20000.0,2750.0,Female,2.0,59.0,11.0,Less Than Seven Years,4.0,Manager
68899,Married,Master's Degree,Tenant,45000.0,2150.0,Male,1.0,54.0,15.0,Less Than Seven Years,2.0,Technician
66624,Married,Bachelor's Degree,Owner,10000.0,6250.0,Female,3.0,48.0,4.0,Less Than Seven Years,3.0,Professional
12866,Single,Bachelor's Degree,Tenant,35000.0,2150.0,Female,0.0,53.0,21.0,Less Than Seven Years,7.0,Manager
10886,Married,Bachelor's Degree,Tenant,30000.0,2750.0,Male,2.0,36.0,7.0,Less Than One Year,4.0,Worker
11590,Single,Bachelor's Degree,Tenant,10000.0,2750.0,Male,2.0,47.0,35.0,Less Than Seven Years,4.0,Worker
98954,Single,Primary School Grad,Family Home,35000.0,500.0,Female,3.0,37.0,15.0,Less Than One Year,4.0,Farmer
84761,Single,Bachelor's Degree,Owner,35000.0,6250.0,Male,2.0,44.0,29.0,Unemployed,3.0,Professional
10503,Divorced,Bachelor's Degree,Tenant,45000.0,2750.0,Female,2.0,61.0,14.0,Unemployed,5.0,Army
77842,Married,Master's Degree,Tenant,85000.0,3750.0,Female,2.0,52.0,21.0,Unemployed,4.0,Manager
27810,Divorced,Bachelor's Degree,Tenant,45000.0,2750.0,Female,0.0,29.0,1.0,Less Than Seven Years,4.0,Manager
56622,Married,Bachelor's Degree,Tenant,15000.0,2150.0,Male,2.0,38.0,6.0,Less Than One Year,7.0,Manager
86072,Married,Bachelor's Degree,Owner,15000.0,6250.0,Female,3.0,45.0,24.0,More Than Seven Years,5.0,Professional
58653,Single,Bachelor's Degree,Owner,45000.0,5250.0,Female,2.0,47.0,1.0,Less Than Four Years,3.0,Manager
49847,Single,Master's Degree,Tenant,15000.0,2750.0,Female,3.0,43.0,6.0,More Than Seven Years,3.0,Clerical
81442,Single,Doctorate Degree,Owner,105000.0,3750.0,Male,1.0,63.0,5.0,More Than Seven Years,2.0,Manager
52887,Married,Bachelor's Degree,Tenant,10000.0,2150.0,Female,2.0,56.0,24.0,Less Than One Year,7.0,Worker
11944,Single,Bachelor's Degree,Owner,45000.0,6250.0,Female,2.0,49.0,1.0,Unemployed,2.0,Manager
17611,Married,Master's Degree,Tenant,10000.0,2150.0,Male,2.0,37.0,8.0,Less Than Seven Years,2.0,Technician
51151,Single,Primary School Grad,Tenant,40000.0,500.0,Male,1.0,63.0,32.0,Less Than One Year,6.0,Manager
276,Married,Bachelor's Degree,Tenant,30000.0,2750.0,Male,0.0,55.0,2.0,Less Than One Year,7.0,Manager
77949,Single,Master's Degree,Tenant,95000.0,2150.0,Male,2.0,68.0,9.0,More Than Seven Years,2.0,Army
26943,Married,Master's Degree,Tenant,15000.0,2150.0,Male,1.0,64.0,8.0,Less Than Seven Years,3.0,Technician
22313,Divorced,Bachelor's Degree,Tenant,20000.0,5250.0,Male,2.0,26.0,25.0,More Than Seven Years,4.0,Professional
19337,Married,Bachelor's Degree,Tenant,40000.0,2750.0,Male,1.0,29.0,8.0,Less Than Four Years,6.0,Farmer
36674,Single,Bachelor's Degree,Tenant,25000.0,2750.0,Male,0.0,69.0,77.0,Less Than Seven Years,3.0,Professional
86698,Single,Bachelor's Degree,Tenant,35000.0,2150.0,Male,3.0,33.0,33.0,Less Than Seven Years,4.0,Manager
5845,Single,Bachelor's Degree,Tenant,45000.0,2150.0,Female,1.0,61.0,7.0,Less Than Four Years,6.0,Technician
36188,Married,Master's Degree,Tenant,15000.0,2750.0,Female,0.0,40.0,8.0,Less Than Four Years,2.0,Professional
27103,Married,Bachelor's Degree,Tenant,20000.0,2150.0,Male,2.0,71.0,39.0,Less Than Seven Years,6.0,Manager
51919,Single,Bachelor's Degree,Tenant,25000.0,2150.0,Female,0.0,33.0,10.0,Less Than One Year,4.0,Clerical
90102,Married,Bachelor's Degree,Tenant,40000.0,2150.0,Female,3.0,45.0,15.0,More Than Seven Years,4.0,Technician
92446,Divorced,Bachelor's Degree,Tenant,20000.0,2150.0,Female,2.0,62.0,5.0,Less Than Seven Years,4.0,Farmer
50876,Single,Master's Degree,Tenant,20000.0,2150.0,Male,3.0,39.0,10.0,Less Than Four Years,2.0,Professional
24045,Married,Bachelor's Degree,Owner,35000.0,4250.0,Male,0.0,56.0,82.0,Less Than Four Years,4.0,Manager
25518,Single,Bachelor's Degree,Tenant,15000.0,2750.0,Male,0.0,47.0,35.0,Less Than Seven Years,4.0,Technician
68026,Married,Bachelor's Degree,Tenant,75000.0,2750.0,Female,3.0,31.0,15.0,Less Than One Year,4.0,Clerical
21826,Married,Master's Degree,Tenant,95000.0,2750.0,Female,2.0,44.0,6.0,Less Than Four Years,3.0,Worker
48933,Single,Master's Degree,Tenant,15000.0,3750.0,Female,2.0,25.0,12.0,Less Than Four Years,7.0,Manager
40510,Single,Primary School Grad,Family Home,105000.0,500.0,Female,1.0,33.0,33.0,Less Than One Year,6.0,Manager
80018,Single,Bachelor's Degree,Owner,15000.0,4250.0,Male,1.0,45.0,22.0,Less Than Seven Years,3.0,Manager
15072,Married,Bachelor's Degree,Tenant,15000.0,2150.0,Female,0.0,43.0,17.0,Less Than Four Years,4.0,Technician
62320,Married,Master's Degree,Tenant,15000.0,2750.0,Female,1.0,42.0,14.0,Less Than Four Years,3.0,Clerical
2384,Single,Bachelor's Degree,Owner,20000.0,6250.0,Female,2.0,19.0,4.0,Less Than Four Years,2.0,Manager
8016,Married,Bachelor's Degree,Tenant,10000.0,5250.0,Female,3.0,55.0,21.0,Less Than Seven Years,4.0,Professional
82035,Divorced,Master's Degree,Tenant,35000.0,2150.0,Female,1.0,27.0,15.0,Unemployed,3.0,Farmer
48456,Married,Bachelor's Degree,Tenant,40000.0,2150.0,Male,0.0,29.0,12.0,Less Than Seven Years,4.0,Clerical
19503,Married,Bachelor's Degree,Owner,50000.0,6250.0,Male,3.0,18.0,5.0,More Than Seven Years,2.0,Professional
53410,Single,Master's Degree,Tenant,50000.0,3750.0,Female,2.0,45.0,8.0,Less Than Four Years,4.0,Worker
41862,Married,Master's Degree,Tenant,25000.0,2150.0,Female,1.0,34.0,6.0,Unemployed,2.0,Farmer
51971,Married,Bachelor's Degree,Tenant,15000.0,2750.0,Male,2.0,66.0,47.0,Less Than Four Years,5.0,Army
28398,Married,Bachelor's Degree,Owner,15000.0,5250.0,Female,2.0,28.0,60.0,Less Than One Year,2.0,Manager
6142,Single,Primary School Grad,Family Home,50000.0,500.0,Male,2.0,41.0,9.0,More Than Seven Years,4.0,Clerical
96500,Single,Bachelor's Degree,Tenant,10000.0,2150.0,Female,3.0,45.0,25.0,Unemployed,4.0,Manager
18354,Divorced,Master's Degree,Tenant,10000.0,2750.0,Female,2.0,66.0,15.0,More Than Seven Years,3.0,Professional
21083,Divorced,Doctorate Degree,Owner,85000.0,3750.0,Female,0.0,67.0,39.0,Less Than One Year,3.0,Manager
94289,Single,Bachelor's Degree,Owner,25000.0,6250.0,Female,3.0,38.0,25.0,Less Than Seven Years,2.0,Manager
69338,Married,Bachelor's Degree,Tenant,90000.0,2750.0,Female,3.0,36.0,14.0,Less Than Four Years,7.0,Clerical
55220,Married,Master's Degree,Tenant,35000.0,2750.0,Female,3.0,27.0,15.0,Less Than One Year,2.0,Clerical
30386,Married,Bachelor's Degree,Tenant,85000.0,2750.0,Female,1.0,25.0,24.0,Less Than Seven Years,6.0,Army
36304,Married,Bachelor's Degree,Owner,10000.0,4250.0,Male,1.0,24.0,81.0,Less Than Four Years,2.0,Professional
36593,Married,Master's Degree,Tenant,20000.0,2150.0,Female,3.0,65.0,42.0,More Than Seven Years,2.0,Army
98258,Divorced,Primary School Grad,Family Home,25000.0,500.0,Male,1.0,38.0,1.0,Less Than Four Years,6.0,Professional
12991,Divorced,Primary School Grad,Family Home,30000.0,500.0,Female,2.0,34.0,4.0,Less Than Seven Years,3.0,Clerical
62154,Married,Master's Degree,Tenant,10000.0,2750.0,Male,1.0,36.0,29.0,Less Than Four Years,3.0,Professional
51098,Single,Bachelor's Degree,Tenant,55000.0,6250.0,Male,2.0,40.0,8.0,Unemployed,4.0,Professional
20878,Married,Master's Degree,Tenant,25000.0,2750.0,Female,0.0,46.0,38.0,Less Than Seven Years,2.0,Technician
2454,Single,Bachelor's Degree,Tenant,20000.0,2750.0,Male,3.0,29.0,2.0,Unemployed,6.0,Manager
79063,Divorced,Bachelor's Degree,Owner,35000.0,6250.0,Male,3.0,29.0,27.0,More Than Seven Years,3.0,Professional
28064,Married,Bachelor's Degree,Tenant,20000.0,2150.0,Male,0.0,41.0,19.0,More Than Seven Years,5.0,Manager
58954,Married,Master's Degree,Tenant,20000.0,2150.0,Male,0.0,27.0,15.0,Less Than Four Years,2.0,Professional
72805,Married,Primary School Grad,Tenant,45000.0,500.0,Female,3.0,47.0,4.0,Less Than Four Years,2.0,Clerical
78518,Married,Bachelor's Degree,Tenant,10000.0,2750.0,Female,2.0,58.0,5.0,More Than Seven Years,6.0,Professional
72702,Married,Master's Degree,Tenant,45000.0,3750.0,Female,0.0,66.0,18.0,More Than Seven Years,4.0,Clerical
78405,Married,Bachelor's Degree,Owner,10000.0,5250.0,Female,1.0,54.0,6.0,Less Than One Year,5.0,Professional
95071,Married,Doctorate Degree,Tenant,50000.0,3750.0,Male,3.0,35.0,4.0,More Than Seven Years,2.0,Manager
56115,Married,Bachelor's Degree,Tenant,35000.0,5250.0,Male,3.0,42.0,13.0,Less Than Four Years,7.0,Professional
38635,Married,Bachelor's Degree,Tenant,25000.0,6250.0,Female,1.0,27.0,4.0,Less Than One Year,7.0,Manager
60011,Single,Master's Degree,Tenant,35000.0,2150.0,Male,3.0,32.0,3.0,Unemployed,3.0,Professional
66418,Single,Master's Degree,Tenant,25000.0,2150.0,Female,3.0,45.0,15.0,Unemployed,2.0,Worker
13893,Single,Doctorate Degree,Tenant,10000.0,3750.0,Male,2.0,34.0,12.0,Less Than Four Years,2.0,Professional
48651,Divorced,Master's Degree,Tenant,55000.0,2150.0,Male,3.0,45.0,28.0,Less Than Four Years,3.0,Clerical
29689,Divorced,Bachelor's Degree,Owner,15000.0,4250.0,Male,2.0,50.0,32.0,Less Than Four Years,4.0,Professional
66093,Single,Doctorate Degree,Tenant,10000.0,3750.0,Female,1.0,26.0,23.0,Less Than One Year,3.0,Manager
67496,Married,Bachelor's Degree,Owner,35000.0,6250.0,Male,0.0,54.0,13.0,Less Than One Year,3.0,Professional
46099,Divorced,Bachelor's Degree,Owner,95000.0,6250.0,Female,2.0,28.0,5.0,Less Than One Year,2.0,Professional
1207,Married,Bachelor's Degree,Owner,10000.0,4250.0,Male,3.0,68.0,3.0,Less Than Seven Years,7.0,Professional
91088,Single,Master's Degree,Tenant,40000.0,2750.0,Female,2.0,33.0,3.0,Less Than Four Years,3.0,Technician
7684,Married,Master's Degree,Tenant,20000.0,2750.0,Female,3.0,51.0,16.0,Less Than Four Years,2.0,Professional
16859,Married,Bachelor's Degree,Tenant,15000.0,2750.0,Female,0.0,64.0,11.0,More Than Seven Years,4.0,Clerical
26086,Married,Bachelor's Degree,Owner,15000.0,4250.0,Female,0.0,68.0,5.0,More Than Seven Years,3.0,Professional
55690,Married,Bachelor's Degree,Tenant,55000.0,2150.0,Male,3.0,29.0,3.0,More Than Seven Years,6.0,Army
44789,Single,Bachelor's Degree,Tenant,95000.0,2150.0,Female,3.0,38.0,32.0,Less Than Seven Years,4.0,Technician
28308,Married,Doctorate Degree,Owner,40000.0,3750.0,Male,1.0,46.0,4.0,Less Than One Year,3.0,Professional
76021,Married,Doctorate Degree,Tenant,25000.0,3750.0,Male,2.0,44.0,15.0,Less Than One Year,2.0,Manager
19595,Married,Bachelor's Degree,Owner,45000.0,4250.0,Male,3.0,56.0,12.0,Less Than Seven Years,2.0,Professional
3630,Single,Bachelor's Degree,Tenant,65000.0,2750.0,Male,1.0,29.0,7.0,More Than Seven Years,7.0,Worker
1708,Married,Doctorate Degree,Owner,60000.0,3750.0,Female,1.0,54.0,14.0,More Than Seven Years,3.0,Professional
26421,Married,Bachelor's Degree,Tenant,20000.0,2150.0,Male,1.0,27.0,7.0,Less Than Four Years,6.0,Manager
24842,Divorced,Bachelor's Degree,Owner,30000.0,5250.0,Male,0.0,50.0,10.0,Unemployed,3.0,Manager
1140,Single,Bachelor's Degree,Owner,30000.0,6250.0,Male,2.0,36.0,34.0,Less Than Seven Years,2.0,Manager
38975,Single,Doctorate Degree,Tenant,60000.0,3750.0,Male,2.0,23.0,9.0,Unemployed,3.0,Manager
75774,Married,Bachelor's Degree,Tenant,20000.0,2750.0,Female,2.0,22.0,13.0,Less Than Four Years,6.0,Worker
92021,Married,Master's Degree,Tenant,20000.0,2750.0,Female,2.0,67.0,14.0,Less Than Four Years,3.0,Technician
35428,Single,Master's Degree,Tenant,65000.0,2750.0,Male,2.0,18.0,7.0,Unemployed,3.0,Professional
90768,Married,Bachelor's Degree,Owner,45000.0,5250.0,Female,0.0,20.0,2.0,Less Than Seven Years,7.0,Professional
80388,Divorced,Bachelor's Degree,Tenant,35000.0,2750.0,Female,3.0,51.0,13.0,Less Than One Year,4.0,Army
1307,Married,Bachelor's Degree,Tenant,15000.0,2750.0,Female,3.0,66.0,9.0,Less Than Seven Years,4.0,Technician
18951,Divorced,Bachelor's Degree,Owner,25000.0,4250.0,Male,3.0,66.0,17.0,Less Than Four Years,4.0,Manager
58342,Single,Bachelor's Degree,Owner,100000.0,4250.0,Male,1.0,55.0,51.0,Less Than Seven Years,3.0,Manager
77988,Married,Bachelor's Degree,Owner,80000.0,4250.0,Male,2.0,59.0,8.0,Less Than Four Years,4.0,Manager
84754,Single,Bachelor's Degree,Owner,45000.0,6250.0,Female,3.0,71.0,11.0,Less Than Four Years,6.0,Manager
44695,Single,Primary School Grad,Tenant,45000.0,500.0,Female,2.0,46.0,14.0,Less Than Seven Years,3.0,Technician
46840,Married,Bachelor's Degree,Owner,25000.0,6250.0,Male,1.0,49.0,15.0,More Than Seven Years,4.0,Professional
74965,Single,Bachelor's Degree,Tenant,35000.0,2750.0,Female,0.0,27.0,10.0,Less Than Four Years,7.0,Manager
57169,Divorced,Bachelor's Degree,Owner,45000.0,5250.0,Male,0.0,53.0,12.0,Less Than One Year,4.0,Manager
20219,Divorced,Bachelor's Degree,Tenant,15000.0,2150.0,Male,1.0,61.0,13.0,Less Than Four Years,4.0,Manager
85090,Married,Master's Degree,Tenant,20000.0,2750.0,Male,1.0,65.0,2.0,Unemployed,3.0,Clerical
55568,Single,Bachelor's Degree,Owner,10000.0,6250.0,Female,3.0,52.0,13.0,Less Than Seven Years,5.0,Professional
39420,Married,Bachelor's Degree,Tenant,30000.0,2750.0,Female,0.0,50.0,5.0,Less Than Seven Years,4.0,Farmer
63922,Married,Primary School Grad,Family Home,10000.0,500.0,Female,1.0,22.0,13.0,Unemployed,3.0,Worker
13283,Married,Primary School Grad,Tenant,35000.0,500.0,Female,2.0,54.0,4.0,More Than Seven Years,6.0,Farmer
26762,Married,Bachelor's Degree,Tenant,20000.0,2150.0,Male,0.0,62.0,1.0,Less Than Four Years,6.0,Worker
64353,Single,Master's Degree,Tenant,35000.0,2750.0,Female,2.0,24.0,5.0,Less Than Seven Years,2.0,Professional
58478,Single,Master's Degree,Tenant,40000.0,2150.0,Female,3.0,23.0,88.0,Unemployed,3.0,Worker
37772,Married,Bachelor's Degree,Tenant,15000.0,2150.0,Male,2.0,47.0,77.0,Unemployed,4.0,Farmer
55778,Single,Bachelor's Degree,Tenant,50000.0,2150.0,Male,2.0,31.0,6.0,Less Than Four Years,4.0,Worker
81532,Divorced,Bachelor's Degree,Owner,20000.0,4250.0,Male,1.0,58.0,17.0,Less Than One Year,3.0,Manager
25879,Married,Bachelor's Degree,Owner,95000.0,4250.0,Female,2.0,54.0,2.0,Less Than Four Years,4.0,Professional
30654,Single,Bachelor's Degree,Tenant,35000.0,2150.0,Male,3.0,70.0,11.0,Less Than One Year,6.0,Farmer
85376,Married,Bachelor's Degree,Tenant,40000.0,2750.0,Female,1.0,22.0,10.0,More Than Seven Years,4.0,Technician
75250,Single,Doctorate Degree,Tenant,45000.0,3750.0,Female,1.0,44.0,1.0,Less Than Seven Years,3.0,Professional
358,Single,Bachelor's Degree,Tenant,45000.0,5250.0,Male,1.0,32.0,4.0,Less Than One Year,4.0,Manager
138,Single,Bachelor's Degree,Tenant,40000.0,4250.0,Female,2.0,19.0,27.0,Less Than Four Years,3.0,Professional
74027,Married,Bachelor's Degree,Tenant,35000.0,4250.0,Male,1.0,38.0,8.0,More Than Seven Years,5.0,Manager
91668,Single,Master's Degree,Tenant,55000.0,2750.0,Female,1.0,32.0,21.0,Less Than Four Years,3.0,Farmer
62443,Divorced,Bachelor's Degree,Owner,30000.0,6250.0,Female,3.0,19.0,37.0,Less Than Four Years,4.0,Manager
82302,Single,Bachelor's Degree,Tenant,45000.0,2750.0,Female,0.0,32.0,10.0,More Than Seven Years,4.0,Technician
43949,Married,Bachelor's Degree,Owner,95000.0,6250.0,Female,0.0,47.0,5.0,Unemployed,7.0,Professional
340,Single,Master's Degree,Tenant,10000.0,2750.0,Female,2.0,67.0,84.0,More Than Seven Years,3.0,Army
70393,Married,Bachelor's Degree,Tenant,25000.0,2750.0,Male,2.0,24.0,27.0,Unemployed,4.0,Manager
56882,Married,Bachelor's Degree,Tenant,45000.0,2150.0,Male,3.0,63.0,1.0,Less Than One Year,5.0,Worker
9569,Married,Bachelor's Degree,Tenant,25000.0,4250.0,Male,3.0,36.0,12.0,Unemployed,4.0,Manager
64386,Divorced,Doctorate Degree,Owner,35000.0,3750.0,Female,2.0,59.0,15.0,More Than Seven Years,3.0,Manager
50098,Single,Bachelor's Degree,Tenant,15000.0,6250.0,Female,1.0,36.0,8.0,Unemployed,7.0,Professional
76118,Single,Master's Degree,Tenant,20000.0,2750.0,Female,3.0,71.0,5.0,More Than Seven Years,3.0,Manager
5498,Married,Bachelor's Degree,Tenant,35000.0,2750.0,Female,0.0,54.0,40.0,More Than Seven Years,4.0,Clerical
86836,Married,Bachelor's Degree,Tenant,15000.0,2750.0,Male,1.0,39.0,45.0,Less Than Four Years,7.0,Worker
8556,Married,Bachelor's Degree,Owner,40000.0,5250.0,Female,2.0,47.0,27.0,More Than Seven Years,6.0,Professional
76449,Married,Bachelor's Degree,Tenant,15000.0,2150.0,Male,2.0,33.0,11.0,Less Than Four Years,4.0,Farmer
1932,Married,Master's Degree,Tenant,15000.0,3750.0,Female,0.0,43.0,64.0,Less Than Four Years,4.0,Army
2352,Single,Bachelor's Degree,Tenant,40000.0,2750.0,Female,0.0,69.0,11.0,Unemployed,4.0,Professional
15848,Single,Master's Degree,Tenant,65000.0,2750.0,Female,2.0,18.0,4.0,Unemployed,3.0,Manager
3236,Married,Bachelor's Degree,Tenant,25000.0,4250.0,Female,3.0,33.0,15.0,Less Than One Year,6.0,Professional
27716,Married,Doctorate Degree,Owner,35000.0,3750.0,Female,1.0,63.0,72.0,Unemployed,2.0,Professional
42261,Single,Bachelor's Degree,Tenant,30000.0,2150.0,Female,2.0,48.0,14.0,Less Than Four Years,4.0,Clerical
